,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,(-0.02092251258142046+0j),(0.024364779021729566+0j),(-0.00016966055647451208+0j),(-0.007782901974460343+0j),(-0.06849568466242469+0j),(-0.24871554458512407+0j),(0.7196180705455499+0j),(-0.1707788018780224+0j),(-0.09855779808250957+0j),(-0.006901070604019479+0j),(0.06340031447917259+0j),(-0.34288761406035606+0j),(0.1061148371190225+0j),(0.027362831217058844+0j),(-0.2976236171276014+0j),(0.32294940667144856+0j),(-0.6161442083192429+0j),(0.0968395254180079+0j),(0.12350449697952526+0j),(0.6065234186185496+0j),(0.1272323180620364+0j),(0.017917043072311786+0j),(-0.06415312283188312+0j),(0.04499623606271508+0j),(0.7283676490611352+0j)
1,(-0.020514445605901554+0.033674730550556455j),(-0.019540288764151825-0.024073983433628324j),(-0.020558283132465528+0.0064586552307925715j),(-0.00015952565632062804-0.00015503344542257963j),(0.045277371388053426+0.0006442657470896018j),(-0.49962541440908825-0.2685226060480724j),(0.7460559689392412-0.041610563217693186j),(-0.11726271655342149-0.10173207312496343j),(-0.10979223571273328-0.02738392073591975j),(-0.1828185799641141+0.009839338409337692j),(0.45515867891472195-0.19016468937408468j),(-0.11574104068152558+0.014010621637135831j),(0.3556098125413327-0.03071596611364799j),(0.05957440109736878+0.07483925825386718j),(-0.6415159156355348+0.17570929228371096j),(0.37080371511336097-0.08527895782583865j),(-0.3987241735110977+0.25917650196813213j),(0.12731170974372547-0.031412234963480896j),(0.08357076102867025-0.017574407289546463j),(0.049354221722773914+0.04680658532706085j),(-0.2186270795123788+0.12675548717273888j),(-0.08485777657401727-0.07274417990851659j),(-0.1859944943508534-0.019851559219885184j),(0.0008576004636713565-0.032267062925564076j),(0.4131631218429734+0.05622620607033131j)
2,(0.025426962995170308-0.04133450776970281j),(-0.03515762151027867+0.015934290378375727j),(0.023474097765513045+0.0217910137085723j),(0.008647256765817504-0.013679062052603904j),(0.02445302063747596-0.02648592025457351j),(-0.2731555935346703-0.14159208657811223j),(0.6902358264482585-0.07861453076810716j),(-0.129427009959923-0.06709495884479336j),(-0.07105217954615844-0.030985758296601027j),(0.0051502135504283425+0.0760234424971845j),(-0.35185263441493225+0.0011510299141978008j),(-0.31576550438884426-0.16072326337921178j),(0.25694537834064823-0.06508353855466872j),(-0.11339304357050745-0.026368416669277406j),(-0.17454072756136527-0.31797133962974466j),(1.0458861304935714+0.11898963967482505j),(-0.3400117865361677+0.12306066107047636j),(-0.2995024980564859+0.3658418717389911j),(0.32742368857148724+0.06488274526651654j),(0.4867148492968153+0.4311450102656411j),(0.21434046204481885+0.06250837114052653j),(-0.04853822089805072+0.022156977118671047j),(-0.0865905543924655+0.060578447645452886j),(0.06617362612303357+0.026488979752140422j),(0.08516759164624932+0.1201498318259615j)
3,(0.08566840037388854-0.03792026937142486j),(0.002803729605747561+0.05450369620855435j),(0.030863240548917197+0.01357128455843662j),(0.012670059131949258-0.010717826623695258j),(0.02512091020751415+0.0016174726959477005j),(-0.15681503617032433-1.0361996120452368j),(0.5448558079968815-0.04292871950465846j),(0.03624421936582185-0.12524061400685904j),(-0.033176547319202485+0.0027489831614276317j),(-0.25978435496160046+0.06712028307189734j),(-0.24345388610359908+0.22444915766117007j),(-0.1472482461736889-0.10760602773911347j),(0.019940931842449876+0.049681948633815115j),(0.04614097512426454-0.017400084812395362j),(0.17703226881783618+0.11738714318407165j),(0.2701920311417569+0.3572903377393366j),(-0.5002181592531421+0.19401630283489807j),(0.2750201810229153+0.4213201064310892j),(0.31160203181357077-0.0638349108083808j),(0.6127239068300177+0.567595836348836j),(-0.10336990388120723-0.07932447980291214j),(-0.00968477930687604+0.002179887223513665j),(0.09437223575012818+0.028283009274658606j),(0.052492575890316896-0.047056700028456425j),(0.17559635549435704+0.09500195105064899j)
4,(0.19513864066319472+0.16216671400868954j),(-0.08565925543251722+0.10481838710796679j),(0.03424794859823565+0.07600281519993492j),(0.005268960067999939-0.024302486124076584j),(0.15088713228633058-0.0028842470007392j),(-0.07560566469346874-0.6432366415989288j),(0.5033878162059868-0.05306127327026483j),(-0.05732277594770208-0.027357106115371524j),(-0.012204762544328104+0.08431356287633887j),(0.018806956936380403-0.08169254545716131j),(0.18139986612700942-0.08280260845479862j),(0.09193529936258402-0.05120336599907507j),(0.17683367330420835+0.1767045068473656j),(0.0422858670058704-0.03128831051545901j),(0.3150707065220878-0.3177650243038897j),(0.37548981077341803+0.9208422729265082j),(-0.3813457938213673-0.21397403424095304j),(0.31501513285014116+0.7964803080826914j),(0.2208207692234871-0.1367766895829568j),(1.234854280520932-0.3569093876411067j),(0.039873493181776486-0.009042390936539963j),(0.023225576759406022-0.0625401370443023j),(0.08349749772686944+0.0937391603263984j),(0.02820045635026238-0.01666259738901129j),(0.14990778382438136-0.14903325800283346j)
5,(0.6463745261797553+0.42845732383112545j),(0.028205673428083583+0.3717549109368083j),(-0.028740812872147442+0.17693841915986372j),(0.0061328607362717835-0.040812225168204035j),(0.16366315201727977-0.0007685533580529813j),(0.040834445196884846-0.7672531015134034j),(0.4073971875263978-0.14726914358900273j),(-0.012770661427550498-0.3096043894272021j),(-0.08945252912388701+0.10447990657890921j),(-0.4656131288503478-0.1173042118832367j),(-0.21545080732416436+0.5484887175979728j),(-0.5246457450860603+0.14987542812712654j),(0.5101644658224541+0.08750930998189975j),(-0.032831000084322326-0.21372956704436474j),(0.554194301715968-0.5107341121431684j),(2.776639410930726+2.3775737152145875j),(-0.3047334483628973+2.0429613945264773j),(0.546112343905742+0.36330672597451297j),(-0.19484654778884583-0.36861182269500536j),(0.8247359324637453-1.047852667568809j),(-0.15355719606051796-0.04206265522967943j),(-0.04307855742914257-0.0760330043698974j),(0.020604614189996134-0.01104892739143961j),(0.005642335852221734-0.003323678732347674j),(0.013063775472516845-8.566752901641161e-05j)
6,(1.0027467221006074+0.0556808368445891j),(-0.015249503354935563+0.21774438587928677j),(0.10892598514350148-0.0006984925114516295j),(-0.05901987979940582-0.05303441635279227j),(0.16231660622109306-0.24022714148254046j),(0.46950015165325326+0.043138406174541365j),(0.4429876418002961+0.3987374207549672j),(0.5046218410822989+0.12194183813538448j),(-0.14696500212231386-0.15590897583551463j),(0.10248681608913986-0.4047891496709376j),(-0.09569836501009149+0.9613217512491578j),(-0.46776652134148977+0.19532849954887832j),(-0.15719175023830667+0.35518775074897435j),(0.15291534407401122-0.10332663735886646j),(0.39689335409961757+0.2321436993478048j),(2.3815058559547846+1.8316376242161831j),(-1.2154489800152066+2.7543210278363506j),(0.21460877382340038+2.2445858594217594j),(0.3783602668423903-0.8765888734210032j),(2.0905545703631803-0.522473665402349j),(0.05153784287838322-0.13105448335168657j),(-0.09395563400015663-0.1433008302059241j),(-0.13786266561572902-0.10853171679631635j),(0.016773349715065687+0.06428910934856681j),(-0.06661831763410081+0.0669828650724728j)
7,(0.8358336506088767+0.008781434361858022j),(-0.13275180601619893+0.18773196032697728j),(-0.005782168555764678-0.009273033700982458j),(0.007934562888105234-0.052468896728927385j),(0.09076180215823869-0.11070405799250155j),(-0.2964301591524477-0.186967386700882j),(0.2838059842862636+0.1705037418974325j),(0.025704475425419412-0.2207801449016797j),(0.02472679427393104+0.04420021706996158j),(-0.5741471918866482-0.33907279095553344j),(0.37924657966932096+0.5949237046113581j),(-0.3068956962495846+0.3059318136030516j),(0.251650900854298-0.10119068785343868j),(0.033208267561815004+0.03646764395844607j),(0.21834626774715052-0.7146307297856209j),(-0.7861339727616287+0.6898830500531894j),(0.7634857851732461+0.8463729888692283j),(0.28853192072735845-1.061209602876255j),(0.20584489510046866+0.21260815994356916j),(-2.2350472636844216-1.892558100650432j),(-0.08329946845348558-0.27843531042205455j),(-0.07377302346734228+0.11861782871869875j),(0.131474697022423+0.04523225640042383j),(-0.03942555696675065+0.023317356524514825j),(0.23330233065680867-0.29070264834942083j)
8,(0.6191120887646451+0.1472269299672148j),(-0.2546469504970225-0.0014530689747354608j),(-0.12172430135011991+0.09364323007058706j),(0.04528639477284857-0.022647877062552762j),(-0.33483151268893435-0.32868692276218764j),(-0.25302216303086045+0.06761202259612228j),(0.3106720648181457+0.523374825475293j),(0.22397914680322473-0.4569621429023172j),(0.057898415161662484+0.06688266370204651j),(-0.1346790587369529-0.105771867035384j),(0.05240738578521953+0.08668152634687343j),(0.31019472758714384+0.7345984789576789j),(0.2166314272009011-0.5612308554742022j),(0.10636080297930277+0.06538202873530671j),(-0.4474851385132605-0.26850121217723183j),(1.5052167511594854+2.026176609731988j),(0.4383142550172471+0.8308576226131147j),(-0.4119632233013172-1.4044884566864515j),(0.4514349833109642+0.12604058082933434j),(-1.2848039729132203-2.0115542557504855j),(-0.005514439407988038+0.23315034299831866j),(-0.400666203606421-0.23290919147440264j),(0.07003146343363767+0.23733543831645829j),(-0.043921763122347586+0.027631984712882435j),(0.31208410334552256-0.2354114807976404j)
9,(0.6677498582351644-0.1978728050242767j),(-0.2717231629224041+0.01652631876398273j),(-0.010187070906982303+0.09292507319500949j),(-0.0018835636543265769+0.04208406533620971j),(-0.6289725230375836-0.3860980949687717j),(0.5939696332012686-0.08464149607499846j),(-0.14349620609503694-0.11381873474242268j),(-0.05229372975128915+0.007705558223124291j),(-0.028275141049425467+0.09441041579826989j),(-0.7579743807130181-0.4656635327368392j),(0.27211642845078077-1.0974859879883665j),(-0.21465896710684235+0.46411305962415217j),(0.15722739750306852+0.1139379738263206j),(0.05000172222145278+0.0036050475449123792j),(-0.9149467345666072+0.5100913821539852j),(2.1905457420180587+0.3816419025848411j),(-2.6093685368768655-1.0047118649148559j),(-0.9242417845596417+1.1023909455198142j),(0.8601137470980419+0.058197267444261236j),(-0.4223412265919009+2.0178393708422373j),(-0.30746550651494803+0.31555684991542376j),(0.11457681993150282-0.1518721630953644j),(-0.0621279001336957-0.05060581303246619j),(0.012821764221842877-0.0038698156244355683j),(0.39439926574802964+0.13955629849611714j)
10,(0.5854767053285819+0.33719642974019187j),(-0.08003410898503911+0.00012684270481597149j),(-0.16564010023639936-0.0822541522142474j),(0.058110074177450004-0.04600910158664061j),(0.33562133641285696-0.34305725907960033j),(-0.21075930224791142-0.13757417276440895j),(0.4223724358488706-0.10141611586880388j),(0.019133027498106404-0.13137654212884098j),(-0.09986878133378854+0.09644640207057373j),(-0.7914123820589904-0.13058967210803202j),(-0.3290945986013861+0.46592887782896586j),(-0.2684944070214976+0.3761047924303992j),(0.266405591885831-0.014801264913091278j),(0.0349048669872323-0.0910042477239659j),(1.0989742466789436-0.04059243885856745j),(2.166098416909197-1.1510475181690825j),(-0.7568586500632697-0.3392971807000031j),(-0.822003112260798+0.6003372835154388j),(0.19603346749806444-0.21664285461399851j),(-0.1477455166299304-0.25579069735317406j),(0.015379916440324626+0.39599313332319624j),(-0.08017122827966996+0.04485641085099078j),(0.02426075733927817-0.08426480967775765j),(0.04177735365894889-0.013261225873347058j),(0.43858184550949597-0.004336194344298027j)
11,(0.8369277831975188-0.3144665134374936j),(0.1953939119298967-0.0020046050594710596j),(0.21200587952576008-0.12197206370726638j),(-0.002835543521230891+0.10110006178705314j),(-0.49653951562138654+0.18840446691101317j),(-0.3426210594338774+0.49943135888053525j),(0.20073102390351164+0.17851674927944278j),(-0.28114463447298105-0.345757377372253j),(-0.027594656858873533-0.08511512989193756j),(0.505161926288589-0.9642522519845875j),(0.0021949236604893755+0.37622262005634255j),(-0.0971199506635059+0.3257602462265923j),(0.402918354194931-0.08361296210020801j),(-0.01701817649261983-0.008868055141499404j),(0.5379245677471638-0.007497480434360326j),(0.6413410763745517-2.1110300865681744j),(-0.11109300837772967+0.267893867171479j),(1.3328807635851783-0.8135914454040035j),(0.2522861896960865+0.19566551644850189j),(0.9910840872631407+2.3121686317683743j),(-0.00043570783353268403+0.04219835668842942j),(-0.016380198342947065+0.08901587857569454j),(0.11636555017632023-0.06014736425259784j),(0.0028999189312702046-0.0004415172344401242j),(0.17722197642739718+0.023897209809757597j)
12,(0.8082667675032658+0.08386439171935291j),(0.10033581879469367+0.08785731047923345j),(0.13767983771336065+0.014966789274445641j),(-0.023141113514139597+0.08480980910914344j),(-0.1243763881916905-0.08091142408409309j),(-0.28953619307844375+0.27469215208037673j),(-0.07565408106864016-0.06756734956255175j),(-0.460080505736589+0.16660327708773964j),(0.005623079391285969-0.04269790032811281j),(0.21413555007570997-0.007011329170643231j),(-0.013824745697562146+0.013408389019805973j),(-0.056269317830914434+0.1357700863036113j),(0.7769010633041392+0.18445145559j),(-0.05625594431211547-0.017838209605942915j),(-0.21915045311128367-0.15577350719139407j),(-1.2475502128936118-1.6329958626970449j),(-0.19492248147528288-0.34976693438102346j),(-0.13565115240300551+0.7255699514971714j),(0.19478695429987064-0.17675098359957203j),(0.16862433918663938+0.04348021698215371j),(0.058758067327564945+0.008957751674059168j),(-0.015039423712763815-0.045122052297206984j),(-0.25521134006359136+0.16296968950011703j),(0.01763834950783853-0.004389307107590373j),(0.09484998203812106-0.023997514147229684j)
13,(1.1211630953918517+0.12676125132300328j),(-0.02144890133460492+0.009640667960374522j),(-0.013127304989405841+0.24514899887583216j),(-0.027796891346006717+0.06295566329069582j),(-0.017615644129390175-0.25445243041977017j),(0.44356529914409687-0.050665369476740364j),(0.08154721864966381-0.15285618963805078j),(-0.06479478145580203-0.12758353965615343j),(0.05072731170209008+0.04688921720268732j),(-0.02732710323271333-0.1296945930050641j),(0.027376639990991394+0.09004602671839361j),(0.09089418108756289+0.16210704290309152j),(0.2216397008570656+0.05467042641554847j),(-0.05344172609451866+0.03850149385789157j),(0.04707502449431053+0.009798362327896503j),(-0.5507956322935786+1.9957910727971597j),(0.4896184234583148-1.2121772742936134j),(-1.1755247197629661-1.5881930629777457j),(0.2980169591196306+0.030076960055701735j),(0.4557342169567595-0.19147521897324182j),(0.23124654521401355-0.3002910129011216j),(0.23192313573608037+0.0016774366065910248j),(0.2604414626257839-0.18999251051149085j),(0.027779624672915487+0.09364646756258752j),(-0.03837673908929705-0.05865244815620339j)
14,(0.2394689186267013-0.07362165486188679j),(0.0192548252561077-0.08674653533104595j),(0.21230453189198184+0.057936654371258806j),(0.006798612351426602+0.013844408558475955j),(-0.17628780661761922-0.1532373330913104j),(-0.4665701607227938-0.6469233016499409j),(0.197189356080122-0.05650646919183404j),(0.3424278935304888-0.4332487634550948j),(0.11076911343665682+0.0662028677767031j),(-0.1310020689709308-0.030835750727358065j),(0.4036550699472831-0.884231728282858j),(0.11972438271880406-0.10782690878918852j),(0.8172761161670206-0.13098743708970992j),(0.055367823333789305+0.11058925586415566j),(-0.4752971344101957-0.23583991804154603j),(0.6721648337522168+0.5085924813971128j),(1.8799363983914403-0.6376746960755966j),(1.7046543170730102+1.431602367989861j),(0.283258173013325+0.35764534167572104j),(0.25982628198066937-3.3245813040281256j),(-0.5728870581217986-0.0626534511502278j),(0.2503687036567619+0.05501041667078718j),(-0.06873511579302469-0.13943157777728185j),(0.06706834040789968+0.037510865422502884j),(0.2889389827137888-0.09652978053229j)
15,(0.5297813875683002+0.1450174827902823j),(-0.04551766583917574-0.04970224119409375j),(-0.12825157973441115+0.431302989597615j),(-0.0972862603392016-0.012861435118299541j),(0.1458811083357727+0.08276117532567091j),(-0.13813315407017526-0.241671703020748j),(0.07523527800232677-0.2032652629899287j),(0.48366022719297913-0.19656027748254232j),(0.09441792483550421+0.0445814344102651j),(-0.19455514427826542-0.4198888517547433j),(0.14972816155019109-0.36649861893231134j),(-0.16382520843280135-0.45131428779413973j),(0.6787637215681834-0.31960785561278454j),(0.09530583930507212+0.008810747699638674j),(-0.5761617721602226-0.4806152925284634j),(-0.8760520547899767+2.229155908152583j),(2.4855822943748134+0.03007159551171167j),(-0.470829288728311+1.5687669331697673j),(0.18355086687842673+0.16063837747328705j),(2.2148386329365364-1.5969566792575525j),(-0.08047646851445707+0.304936342616669j),(0.14307514380990194+0.21128363434216513j),(-0.4009135445795645+0.20275221178378777j),(-0.04594642188013685-0.013002943431787397j),(0.3317023512601365+0.21721725833914335j)
