,rd,alpha,Fs,x,y,z,Node 1,Node 2,Node 3,Node 4,Node 5
0,5.851288473254739,0.3153802020027159,16000.0,,,,,,,,
1,3.343177680822005,0.3153802020027159,16000.0,,,,,,,,
2,4.744319151565453,0.3153802020027159,16000.0,,,,,,,,
Source 1,,,,0.57078052466386,1.9745662385235676,1.2389291540246172,,,,,
Noise 1,,,,3.2499544566919103,1.9265224896466182,3.9847769761564167,,,,,
Node 1,,,,4.185776997651947,1.0040012775990106,4.5620240688065525,,,,,
Node 2,,,,3.79137321292918,2.4001408856501,3.062732815847394,,,,,
Node 3,,,,2.1833372729374294,3.110153767140441,4.177579726176828,,,,,
Node 4,,,,4.132937962253717,2.370733563943526,0.37358519169922966,,,,,
Node 5,,,,1.3836972906604665,0.5476236899073857,3.4044964213875644,,,,,
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
