,rd,alpha,Fs,nNodes,d_intersensor,x,y,z,Sensor 1,Sensor 2
0,3.9093440898686787,1.0,16000.0,2.0,0.05,,,,,
1,4.2670333588390115,1.0,16000.0,2.0,0.05,,,,,
2,6.189461829330936,1.0,16000.0,2.0,0.05,,,,,
Source 1,,,,,,2.6437122003464117,1.66887749937888,2.0599391027986864,,
Noise 1,,,,,,2.6084607938169704,0.40919969022387126,2.7347497484300005,,
Sensor 1,,,,,,2.338994789752776,0.7968009992066803,4.163997854880182,,
Sensor 2,,,,,,3.681831465164416,1.0592727455132092,5.873063669843895,,
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,-1.3092269060698943e-06,0.0
h_sn 1,,,,,,,,,6.874436329909034e-06,0.0
h_sn 1,,,,,,,,,-1.7377361817405856e-05,0.0
h_sn 1,,,,,,,,,3.346873620993801e-05,0.0
h_sn 1,,,,,,,,,-5.5858016017301566e-05,0.0
h_sn 1,,,,,,,,,8.534445990165205e-05,0.0
h_sn 1,,,,,,,,,-0.00012286526098835535,0.0
h_sn 1,,,,,,,,,0.00016957014922657456,0.0
h_sn 1,,,,,,,,,-0.00022693853633557398,0.0
h_sn 1,,,,,,,,,0.00029696782333836545,0.0
h_sn 1,,,,,,,,,-0.00038248634048027876,0.0
h_sn 1,,,,,,,,,0.0004876965613879747,0.0
h_sn 1,,,,,,,,,-0.0006191717210216064,0.0
h_sn 1,,,,,,,,,0.0007878172623398219,0.0
h_sn 1,,,,,,,,,-0.0010130966492503289,0.0
h_sn 1,,,,,,,,,0.0013333014460981036,0.0
h_sn 1,,,,,,,,,-0.0018351204180760497,0.0
h_sn 1,,,,,,,,,0.0027641471355546858,0.0
h_sn 1,,,,,,,,,-0.005191802158896804,0.0
h_sn 1,,,,,,,,,0.032569777150059334,0.0
h_sn 1,,,,,,,,,0.007688746255077807,0.0
h_sn 1,,,,,,,,,-0.003381866082167725,0.0
h_sn 1,,,,,,,,,0.0021158357082509405,0.0
h_sn 1,,,,,,,,,-0.0014964190243856718,0.0
h_sn 1,,,,,,,,,0.0011214359373415835,0.0
h_sn 1,,,,,,,,,-0.0008659387023825682,0.0
h_sn 1,,,,,,,,,0.0006785895974305848,0.0
h_sn 1,,,,,,,,,-0.0005344977777907867,0.0
h_sn 1,,,,,,,,,0.00042017882181077416,0.0
h_sn 1,,,,,,,,,-0.0003277125241370108,0.0
h_sn 1,,,,,,,,,0.00025214237428275844,0.0
h_sn 1,,,,,,,,,-0.0001901956564962715,0.0
h_sn 1,,,,,,,,,0.00013960299867287653,0.0
h_sn 1,,,,,,,,,-9.871401629698286e-05,0.0
h_sn 1,,,,,,,,,6.626956942347294e-05,0.0
h_sn 1,,,,,,,,,-4.1261716517751026e-05,0.0
h_sn 1,,,,,,,,,2.2845220610776875e-05,0.0
h_sn 1,,,,,,,,,-1.0280664001018076e-05,0.0
h_sn 1,,,,,,,,,2.8976688340414415e-06,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0
