,rd,alpha,Fs,nNodes,d_intersensor,x,y,z,Node1Sensor1,Node1Sensor2,Node2Sensor1,Node2Sensor2,Node3Sensor1,Node3Sensor2
0,3.9093440898686787,1.0,16000.0,3.0,0.05,,,,,,,,,
1,4.2670333588390115,1.0,16000.0,3.0,0.05,,,,,,,,,
2,6.189461829330936,1.0,16000.0,3.0,0.05,,,,,,,,,
Source 1,,,,,,2.6437122003464117,1.66887749937888,2.0599391027986864,,,,,,
Noise 1,,,,,,3.4655550334102943,2.976057350235609,2.020691330474306,,,,,,
Sensor 1,,,,,,2.2919993484150036,0.7830394745463513,4.174099782047369,,,,,,
Sensor 2,,,,,,2.3859902310905485,0.8105625238670094,4.153895927712995,,,,,,
Sensor 3,,,,,,3.6508526828167134,1.0247629590517962,5.891755638243219,,,,,,
Sensor 4,,,,,,3.712810247512119,1.0937825319746222,5.854371701444571,,,,,,
Sensor 5,,,,,,2.595342306542872,0.3870039982560858,2.777589642800908,,,,,,
Sensor 6,,,,,,2.6215792810910687,0.43139538219165674,2.691909854059093,,,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,-1.4138445405486437e-06,,,,
h_sn1,,,,,,,,,0.0,8.040890110447842e-06,,,,
h_sn1,,,,,,,,,-1.2582197786343725e-06,-2.0787250438502648e-05,,,,
h_sn1,,,,,,,,,6.488127207025085e-06,4.046186502040327e-05,,,,
h_sn1,,,,,,,,,-1.6315003019919e-05,-6.79452803224183e-05,,,,
h_sn1,,,,,,,,,3.1344232929505155e-05,0.00010422749914723417,,,,
h_sn1,,,,,,,,,-5.223608852217014e-05,-0.00015046662157678224,,,,
h_sn1,,,,,,,,,7.973478304364556e-05,0.00020807969981561787,,,,
h_sn1,,,,,,,,,-0.00011471346728249797,-0.00027888526053441445,,,,
h_sn1,,,,,,,,,0.00015824397757262912,0.00036533204961622747,,,,
h_sn1,,,,,,,,,-0.00021170638520967284,-0.00047087837365341673,,,,
h_sn1,,,,,,,,,0.0002769651613108039,0.0006006487988913584,,,,
h_sn1,,,,,,,,,-0.000356662087467545,-0.0007626348617418275,,,,
h_sn1,,,,,,,,,0.0004547250368366488,0.0009700479175779045,,,,
h_sn1,,,,,,,,,-0.0005773021959816203,-0.0012463594867626166,,,,
h_sn1,,,,,,,,,0.000734602660463639,0.0016374566810789899,,,,
h_sn1,,,,,,,,,-0.0009448673756903677,-0.002246249232212104,,,,
h_sn1,,,,,,,,,0.0012440380055316282,0.003359667785468972,,,,
h_sn1,,,,,,,,,-0.001713671591474527,-0.0061866865137350565,,,,
h_sn1,,,,,,,,,0.0025857344187038187,0.03152420040999304,,,,
h_sn1,,,,,,,,,-0.0048810314742858355,0.010308066468040793,,,,
h_sn1,,,,,,,,,0.03254349067492523,-0.004359666745738803,,,,
h_sn1,,,,,,,,,0.00702873469475698,0.002699131529612422,,,,
h_sn1,,,,,,,,,-0.003119116369384973,-0.0019003056842955002,,,,
h_sn1,,,,,,,,,0.0019562291880870705,0.001420844131299449,,,,
h_sn1,,,,,,,,,-0.0013850168126431923,-0.0010958294077262195,,,,
h_sn1,,,,,,,,,0.001038512819056631,0.0008582860852010056,,,,
h_sn1,,,,,,,,,-0.0008021325854585138,-0.0006759817437497385,,,,
h_sn1,,,,,,,,,0.0006286660985996172,0.0005315454313106849,,,,
h_sn1,,,,,,,,,-0.0004951833061786762,-0.00041481423680884185,,,,
h_sn1,,,,,,,,,0.0003892465760118126,0.00031944848036214455,,,,
h_sn1,,,,,,,,,-0.0003035436593253984,-0.00024127391218208734,,,,
h_sn1,,,,,,,,,0.00023349499197429,0.00017740369247968852,,,,
h_sn1,,,,,,,,,-0.00017607470456603458,-0.00012574392258799384,,,,
h_sn1,,,,,,,,,0.00012918324989850033,8.470134657466742e-05,,,,
h_sn1,,,,,,,,,-9.129277409163619e-05,-5.3003930224097465e-05,,,,
h_sn1,,,,,,,,,6.123686930755806e-05,2.95876282634572e-05,,,,
h_sn1,,,,,,,,,-3.808123084818554e-05,-1.3523645295239062e-05,,,,
h_sn1,,,,,,,,,2.1041902307218126e-05,3.971405295058064e-06,,,,
h_sn1,,,,,,,,,-9.432713970618237e-06,0.0,,,,
h_sn1,,,,,,,,,2.6312992538817908e-06,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
h_sn1,,,,,,,,,0.0,0.0,,,,
