,rd,alpha,Fs,nNodes,d_intersensor,x,y,z,Node1Sensor1,Node1Sensor2,Node1Sensor3,Node1Sensor4,Node1Sensor5,Node1Sensor6,Node1Sensor7,Node1Sensor8,Node1Sensor9,Node1Sensor10,Node2Sensor1,Node2Sensor2,Node2Sensor3,Node2Sensor4,Node2Sensor5,Node2Sensor6,Node2Sensor7,Node2Sensor8,Node2Sensor9,Node2Sensor10,Node3Sensor1,Node3Sensor2,Node3Sensor3,Node3Sensor4,Node3Sensor5,Node3Sensor6,Node3Sensor7,Node3Sensor8,Node3Sensor9,Node3Sensor10,Node4Sensor1,Node4Sensor2,Node4Sensor3,Node4Sensor4,Node4Sensor5,Node4Sensor6,Node4Sensor7,Node4Sensor8,Node4Sensor9,Node4Sensor10
0,3.9093440898686787,1.0,16000.0,4.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.2670333588390115,1.0,16000.0,4.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6.189461829330936,1.0,16000.0,4.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source 1,,,,,,2.6437122003464117,1.66887749937888,2.0599391027986864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise 1,,,,,,2.86917772770257,0.9393231987591326,0.5050264736621858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 1,,,,,,2.304984349860281,0.7808110177021508,4.160517170250388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 2,,,,,,2.3156368925818533,0.828378639549161,4.133327293809131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 3,,,,,,2.3019416973704963,0.755967474361174,4.173854656246673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 4,,,,,,2.316372108001775,0.7919788699541563,4.180501747220135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 5,,,,,,2.3220838827994816,0.8371463998875042,4.139705272407835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 6,,,,,,2.3229776235138084,0.7726863390709731,4.149542502874611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 7,,,,,,2.2894970231244893,0.8096614536166482,4.142236125622694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 8,,,,,,2.295803558701571,0.8084838969323184,4.1316304869083025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 9,,,,,,2.3194336284747354,0.7908896802942921,4.129018088986452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor 10,,,,,,2.3107876760613197,0.7942343107400347,4.161634740388301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
