,rd,RT,Fs,nNodes,d_intersensor,x,y,z,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5
0,3.9093440898686787,0.0,16000.0,5.0,0.05,,,,,,,,
1,4.2670333588390115,0.0,16000.0,5.0,0.05,,,,,,,,
2,6.189461829330936,0.0,16000.0,5.0,0.05,,,,,,,,
Source 1,,,,,,2.6437122003464117,1.66887749937888,2.0599391027986864,,,,,
Noise 1,,,,,,0.6250869230587369,1.451218834549045,2.8792952681049235,,,,,
Sensor 1,,,,,,2.338994789752776,0.7968009992066803,4.163997854880182,,,,,
Sensor 2,,,,,,3.681831465164416,1.0592727455132092,5.873063669843895,,,,,
Sensor 3,,,,,,2.6084607938169704,0.40919969022387126,2.7347497484300005,,,,,
Sensor 4,,,,,,3.4655550334102943,2.976057350235609,2.020691330474306,,,,,
Sensor 5,,,,,,2.86917772770257,0.9393231987591326,0.5050264736621858,,,,,
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0
