,rd,alpha,Fs,nNodes,d_intersensor,x,y,z,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15
0,6.74663681,1.0,16000.0,5.0,0.1,,,,,,,,,,,,,,,,,,
1,6.47443158,1.0,16000.0,5.0,0.1,,,,,,,,,,,,,,,,,,
2,5.29141806,1.0,16000.0,5.0,0.1,,,,,,,,,,,,,,,,,,
Source 1,,,,,,3.80871696,3.47644605,0.13365643,,,,,,,,,,,,,,,
Noise 1,,,,,,3.17100024,4.40443333,2.16296961,,,,,,,,,,,,,,,
Sensor 1,,,,,,2.431041659643418,4.289134947311142,3.06801878198582,,,,,,,,,,,,,,,
Sensor 2,,,,,,2.48886545,4.34982861,2.87315296,,,,,,,,,,,,,,,
Sensor 3,,,,,,2.48886545,4.34982861,2.87315296,,,,,,,,,,,,,,,
Sensor 4,,,,,,5.242574120197481,5.501377681550789,4.4841171446654755,,,,,,,,,,,,,,,
Sensor 5,,,,,,5.24655834,5.66887148,4.35400199,,,,,,,,,,,,,,,
Sensor 6,,,,,,5.24655834,5.66887148,4.35400199,,,,,,,,,,,,,,,
Sensor 7,,,,,,0.23307418779548597,4.418714436563056,3.4349746354715966,,,,,,,,,,,,,,,
Sensor 8,,,,,,0.12285002,4.59571634,3.47397411,,,,,,,,,,,,,,,
Sensor 9,,,,,,0.12285002,4.59571634,3.47397411,,,,,,,,,,,,,,,
Sensor 10,,,,,,2.9722066517923404,1.4213433285625707,0.9105124933348175,,,,,,,,,,,,,,,
Sensor 11,,,,,,2.78390363,1.49391502,0.84512655,,,,,,,,,,,,,,,
Sensor 12,,,,,,2.78390363,1.49391502,0.84512655,,,,,,,,,,,,,,,
Sensor 13,,,,,,1.1093203809391163,5.858870708803525,0.8575326049098368,,,,,,,,,,,,,,,
Sensor 14,,,,,,1.1217436,6.07061552,0.86066287,,,,,,,,,,,,,,,
Sensor 15,,,,,,1.1217436,6.07061552,0.86066287,,,,,,,,,,,,,,,
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
