         4310950 function calls (4216646 primitive calls) in 6.463 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    2.223    0.741    2.534    0.845 {built-in method exec_}
        1    0.445    0.445    0.617    0.617 VAD.py:4(oracleVAD)
    28672    0.291    0.000    0.423    0.000 linalg.py:1482(svd)
        1    0.284    0.284    1.673    1.673 myMWF.py:4(MWF)
    28672    0.244    0.000    1.115    0.000 linalg.py:1804(matrix_rank)
    77765    0.211    0.000    0.211    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       24    0.120    0.005    0.122    0.005 backend_qt5.py:699(_icon)
188514/130085    0.109    0.000    1.550    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        3    0.090    0.030    0.090    0.030 backend_qt5.py:96(_create_qApp)
       25    0.071    0.003    0.247    0.010 font_manager.py:1311(_findfont_cached)
        3    0.066    0.022    0.068    0.023 {built-in method show}
      101    0.063    0.001    0.065    0.001 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       13    0.062    0.005    0.153    0.012 pyparsing.py:5462(oneOf)
    32768    0.055    0.000    0.055    0.000 {method 'conj' of 'numpy.ndarray' objects}
    16384    0.053    0.000    0.070    0.000 numeric.py:851(outer)
       10    0.050    0.005    0.050    0.005 {built-in method numpy.core._multiarray_umath.correlate}
       18    0.048    0.003    0.049    0.003 {built-in method matplotlib._image.resample}
    18525    0.048    0.000    0.053    0.000 font_manager.py:1188(score_stretch)
        3    0.047    0.016    0.188    0.063 backend_qt5.py:530(__init__)
    28698    0.043    0.000    0.223    0.000 numeric.py:425(count_nonzero)
     3270    0.038    0.000    0.053    0.000 inspect.py:2901(_bind)
    28681    0.037    0.000    0.060    0.000 linalg.py:135(_commonType)
    61450    0.031    0.000    0.090    0.000 <__array_function__ internals>:2(squeeze)
        4    0.031    0.008    0.031    0.008 {method 'quantize' of 'ImagingCore' objects}
   177831    0.030    0.000    0.052    0.000 pyparsing.py:5504(<lambda>)
    57458    0.028    0.000    0.040    0.000 numerictypes.py:284(issubclass_)
     1146    0.025    0.000    0.025    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
      358    0.025    0.000    0.025    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
154654/154653    0.025    0.000    0.042    0.000 {built-in method builtins.isinstance}
   188860    0.025    0.000    0.025    0.000 {built-in method builtins.issubclass}
    28729    0.025    0.000    0.067    0.000 numerictypes.py:358(issubdtype)
    18525    0.024    0.000    0.033    0.000 font_manager.py:1130(score_family)
     8001    0.024    0.000    0.078    0.000 _methods.py:162(_mean)
    28824    0.023    0.000    0.027    0.000 getlimits.py:382(__new__)
    28791    0.023    0.000    0.103    0.000 {method 'sum' of 'numpy.ndarray' objects}
     8001    0.023    0.000    0.024    0.000 _methods.py:66(_count_reduce_items)
   178149    0.022    0.000    0.022    0.000 {method 'startswith' of 'str' objects}
    29416    0.022    0.000    0.107    0.000 {method 'max' of 'numpy.ndarray' objects}
    61450    0.021    0.000    0.029    0.000 fromnumeric.py:1441(squeeze)
    10817    0.020    0.000    0.067    0.000 fromnumeric.py:69(_wrapreduction)
      251    0.019    0.000    0.019    0.000 {method 'get_glyph_name' of 'matplotlib.ft2font.FT2Font' objects}
    28698    0.019    0.000    0.264    0.000 <__array_function__ internals>:2(count_nonzero)
   141580    0.018    0.000    0.020    0.000 {method 'get' of 'dict' objects}
    58011    0.018    0.000    0.018    0.000 {method 'astype' of 'numpy.ndarray' objects}
    18525    0.018    0.000    0.050    0.000 font_manager.py:1206(score_weight)
       37    0.018    0.000    0.018    0.000 {method 'take' of 'numpy.ndarray' objects}
    69658    0.017    0.000    0.024    0.000 {built-in method builtins.getattr}
       10    0.017    0.002    0.017    0.002 VAD.py:68(getSNR)
    57353    0.016    0.000    0.023    0.000 linalg.py:125(_realType)
    28681    0.016    0.000    0.023    0.000 linalg.py:107(_makearray)
    95966    0.016    0.000    0.016    0.000 {built-in method numpy.asarray}
   177832    0.016    0.000    0.016    0.000 pyparsing.py:5503(<lambda>)
    28672    0.016    0.000    0.462    0.000 <__array_function__ internals>:2(svd)
    28672    0.015    0.000    1.146    0.000 <__array_function__ internals>:2(matrix_rank)
    33334    0.014    0.000    0.014    0.000 {method 'ravel' of 'numpy.ndarray' objects}
  5262/37    0.014    0.000    0.079    0.002 pyparsing.py:1835(_parseCache)
25218/20235    0.013    0.000    0.024    0.000 artist.py:241(stale)
    33609    0.013    0.000    0.018    0.000 __init__.py:604(__getitem__)
    57362    0.012    0.000    0.018    0.000 linalg.py:112(isComplexType)
     4439    0.012    0.000    0.012    0.000 {built-in method numpy.array}
     8001    0.012    0.000    0.090    0.000 fromnumeric.py:3322(mean)
    28681    0.011    0.000    0.011    0.000 linalg.py:102(get_linalg_error_extobj)
    31420    0.011    0.000    0.011    0.000 {built-in method builtins.max}
1625/1598    0.010    0.000    0.046    0.000 artist.py:1038(update)
        4    0.010    0.002    0.010    0.002 {method 'encode' of 'ImagingEncoder' objects}
    28681    0.010    0.000    0.010    0.000 linalg.py:193(_assert_stacked_2d)
    16384    0.010    0.000    0.091    0.000 <__array_function__ internals>:2(outer)
    28791    0.009    0.000    0.080    0.000 _methods.py:46(_sum)
    29416    0.009    0.000    0.086    0.000 _methods.py:38(_amax)
  4918/37    0.009    0.000    0.079    0.002 pyparsing.py:1647(_parseNoCache)
    39922    0.008    0.000    0.018    0.000 abc.py:96(__instancecheck__)
      126    0.008    0.000    0.008    0.000 _methods.py:106(_clip_dep_invoke_with_casting)
     8831    0.008    0.000    0.064    0.000 fromnumeric.py:2763(amin)
    39922    0.008    0.000    0.009    0.000 {built-in method _abc._abc_instancecheck}
    61453    0.007    0.000    0.007    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
    39280    0.007    0.000    0.007    0.000 {built-in method numpy.asanyarray}
 3267/751    0.007    0.000    1.328    0.002 deprecation.py:404(wrapper)
      524    0.007    0.000    0.088    0.000 text.py:665(draw)
